mean doses per period,2 dose vial,5 dose vial,10 dose vial,20 dose vial
7.230769231,0.000584615,0.030732898,0.291638628,0.638266405
7.307692308,0.000539669,0.029034303,0.285133153,0.634433405
7.384615385,0.000498177,0.027423461,0.278690533,0.630599551
7.461538462,0.000459873,0.025896353,0.272312761,0.626764897
7.538461538,0.000424513,0.024449097,0.266001784,0.622929499
7.615384615,0.000391871,0.023077953,0.259759498,0.619093405
7.692307692,0.000361738,0.021779316,0.253587745,0.615256664
7.769230769,0.000333921,0.020549717,0.247488306,0.611419319
7.846153846,0.000308243,0.019385822,0.241462899,0.607581415
7.923076923,0.000284539,0.018284428,0.235513177,0.603742989
8,0.000262657,0.017242462,0.229640721,0.599904082
8.076923077,0.000242458,0.016256977,0.223847039,0.596064729
8.153846154,0.000223811,0.01532515,0.218133564,0.592224965
8.230769231,0.000206598,0.014444278,0.212501646,0.588384824
8.307692308,0.000190709,0.013611777,0.206952556,0.584544337
8.384615385,0.000176042,0.012825174,0.20148748,0.580703534
8.461538462,0.000162502,0.012082109,0.196107517,0.576862447
8.538461538,0.000150004,0.011380328,0.190813678,0.573021102
8.615384615,0.000138467,0.01071768,0.185606884,0.56917953
8.692307692,0.000127817,0.010092115,0.180487968,0.565337757
8.769230769,0.000117986,0.009501678,0.175457667,0.561495811
8.846153846,0.000108911,0.008944508,0.17051663,0.557653718
8.923076923,0.000100534,0.008418834,0.165665411,0.553811506
9,9.28E-05,0.007922967,0.160904473,0.549969202
9.076923077,8.57E-05,0.007455305,0.156234184,0.546126832
9.153846154,7.91E-05,0.007014323,0.151654824,0.542284424
9.230769231,7.30E-05,0.006598572,0.147166579,0.538442007
9.307692308,6.74E-05,0.006206676,0.142769548,0.534599608
9.384615385,6.22E-05,0.005837327,0.138463739,0.530757258
9.461538462,5.74E-05,0.005489287,0.134249073,0.526914987
9.538461538,5.30E-05,0.005161377,0.130125389,0.523072827
9.615384615,4.89E-05,0.004852482,0.126092437,0.519230809
9.692307692,4.52E-05,0.004561545,0.122149892,0.51538897
9.769230769,4.17E-05,0.004287561,0.118297345,0.511547344
9.846153846,3.85E-05,0.004029582,0.114534313,0.50770597
9.923076923,3.55E-05,0.003786707,0.110860239,0.503864886
10,3.28E-05,0.003558084,0.107274494,0.500024136
10.07692308,3.03E-05,0.003342906,0.103776382,0.496183762
10.15384615,2.79E-05,0.003140411,0.100365141,0.492343812
10.23076923,2.58E-05,0.002949876,0.097039946,0.488504334
10.30769231,2.38E-05,0.002770618,0.093799915,0.484665381
10.38461538,2.20E-05,0.002601991,0.090644109,0.480827007
10.46153846,2.03E-05,0.002443385,0.087571535,0.47698927
10.53846154,1.87E-05,0.002294222,0.084581153,0.473152233
10.61538462,1.73E-05,0.002153958,0.081671874,0.46931596
10.69230769,1.60E-05,0.002022076,0.078842568,0.465480519
10.76923077,1.47E-05,0.001898092,0.076092065,0.461645983
10.84615385,1.36E-05,0.001781544,0.073419159,0.45781243
10.92307692,1.25E-05,0.001672,0.070822608,0.453979939
11,1.16E-05,0.001569051,0.068301144,0.450148596
11.07692308,1.07E-05,0.001472309,0.065853468,0.446318492
11.15384615,9.87E-06,0.00138141,0.06347826,0.442489721
11.23076923,9.11E-06,0.001296011,0.061174176,0.438662383
11.30769231,8.41E-06,0.001215787,0.058939856,0.434836584
11.38461538,7.76E-06,0.001140432,0.056773924,0.431012433
11.46153846,7.16E-06,0.001069658,0.054674992,0.427190046
11.53846154,6.61E-06,0.001003194,0.052641661,0.423369546
11.61538462,6.10E-06,0.000940782,0.050672524,0.41955106
11.69230769,5.64E-06,0.000882182,0.04876617,0.415734721
11.76923077,5.20E-06,0.000827166,0.046921185,0.41192067
11.84615385,4.80E-06,0.000775519,0.045136155,0.408109052
11.92307692,4.43E-06,0.000727041,0.043409667,0.40430002
12,4.09E-06,0.00068154,0.041740311,0.400493733
12.07692308,3.78E-06,0.000638838,0.040126685,0.396690359
12.15384615,3.49E-06,0.000598766,0.038567391,0.392890069
12.23076923,3.22E-06,0.000561166,0.037061042,0.389093045
12.30769231,2.97E-06,0.000525888,0.035606263,0.385299472
12.38461538,2.74E-06,0.000492792,0.034201687,0.381509547
12.46153846,2.53E-06,0.000461745,0.032845966,0.37772347
12.53846154,2.34E-06,0.000432622,0.031537762,0.373941451
12.61538462,2.16E-06,0.000405308,0.030275756,0.370163708
12.69230769,1.99E-06,0.000379692,0.029058644,0.366390464
12.76923077,1.84E-06,0.00035567,0.027885143,0.362621952
12.84615385,1.70E-06,0.000333145,0.026753985,0.358858412
12.92307692,1.57E-06,0.000312025,0.025663927,0.35510009
13,1.45E-06,0.000292224,0.024613741,0.351347244
13.07692308,1.33E-06,0.000273661,0.023602225,0.347600135
13.15384615,1.23E-06,0.00025626,0.022628195,0.343859034
13.23076923,1.14E-06,0.00023995,0.021690493,0.340124221
13.30769231,1.05E-06,0.000224664,0.02078798,0.336395981
13.38461538,9.69E-07,0.000210338,0.019919543,0.332674608
13.46153846,8.94E-07,0.000196912,0.019084092,0.328960404
13.53846154,8.25E-07,0.000184332,0.018280559,0.325253678
13.61538462,7.62E-07,0.000172545,0.017507901,0.321554745
13.69230769,7.03E-07,0.000161502,0.016765099,0.317863931
