mean doses per period,2 dose vial,5 dose vial,10 dose vial,20 dose vial
1.788461538,0.213749957,0.575834426,0.785391761,0.892695532
1.807692308,0.212137369,0.573133625,0.78390882,0.891954023
1.826923077,0.210545562,0.570434214,0.782421395,0.891210269
1.846153846,0.208974224,0.5677365,0.780929516,0.890464283
1.865384615,0.207423043,0.565040793,0.779433212,0.889716081
1.884615385,0.205891714,0.562347404,0.777932515,0.888965677
1.903846154,0.204379936,0.559656643,0.776427455,0.888213087
1.923076923,0.20288741,0.556968821,0.774918062,0.887458325
1.942307692,0.201413844,0.554284248,0.773404368,0.886701406
1.961538462,0.199958947,0.551603237,0.771886404,0.885942345
1.980769231,0.198522433,0.548926097,0.770364199,0.885181158
2,0.197104021,0.546253139,0.768837786,0.88441786
2.019230769,0.195703433,0.543584672,0.767307196,0.883652464
2.038461538,0.194320395,0.540921005,0.76577246,0.882884988
2.057692308,0.192954637,0.538262445,0.764233609,0.882115444
2.076923077,0.191605893,0.535609299,0.762690675,0.88134385
2.096153846,0.190273902,0.532961872,0.761143689,0.880570219
2.115384615,0.188958405,0.530320467,0.759592684,0.879794567
2.134615385,0.187659147,0.527685387,0.75803769,0.879016909
2.153846154,0.186375879,0.525056932,0.75647874,0.87823726
2.173076923,0.185108353,0.522435398,0.754915866,0.877455636
2.192307692,0.183856327,0.519821082,0.7533491,0.876672051
2.211538462,0.182619562,0.517214277,0.751778475,0.87588652
2.230769231,0.181397822,0.514615273,0.750204021,0.875099059
2.25,0.180190875,0.512024359,0.748625772,0.874309683
2.269230769,0.178998493,0.509441818,0.74704376,0.873518406
2.288461538,0.177820452,0.506867932,0.745458018,0.872725244
2.307692308,0.176656531,0.50430298,0.743868578,0.871930213
2.326923077,0.175506511,0.501747238,0.742275473,0.871133326
2.346153846,0.17437018,0.499200975,0.740678736,0.8703346
2.365384615,0.173247327,0.49666446,0.7390784,0.869534048
2.384615385,0.172137744,0.494137956,0.737474497,0.868731687
2.403846154,0.171041227,0.491621724,0.735867062,0.86792753
2.423076923,0.169957577,0.489116018,0.734256126,0.867121594
2.442307692,0.168886596,0.48662109,0.732641724,0.866313892
2.461538462,0.167828091,0.484137186,0.731023888,0.86550444
2.480769231,0.166781869,0.481664549,0.729402653,0.864693253
2.5,0.165747744,0.479203416,0.727778052,0.863880345
2.519230769,0.164725532,0.476754019,0.726150119,0.863065731
2.538461538,0.16371505,0.474316587,0.724518887,0.862249427
2.557692308,0.16271612,0.471891341,0.722884391,0.861431446
2.576923077,0.161728568,0.4694785,0.721246664,0.860611803
2.596153846,0.160752219,0.467078275,0.719605741,0.859790513
2.615384615,0.159786906,0.464690874,0.717961657,0.858967591
2.634615385,0.15883246,0.462316496,0.716314445,0.858143051
2.653846154,0.157888718,0.45995534,0.71466414,0.857316907
2.673076923,0.156955519,0.457607594,0.713010777,0.856489174
2.692307692,0.156032704,0.455273443,0.711354391,0.855659867
2.711538462,0.155120118,0.452953066,0.709695017,0.854828999
2.730769231,0.154217607,0.450646636,0.70803269,0.853996586
2.75,0.15332502,0.44835432,0.706367446,0.85316264
2.769230769,0.15244221,0.446076279,0.704699319,0.852327177
2.788461538,0.151569031,0.443812669,0.703028346,0.851490211
2.807692308,0.15070534,0.441563639,0.701354561,0.850651755
2.826923077,0.149850996,0.439329331,0.699678003,0.849811824
2.846153846,0.149005861,0.437109883,0.697998705,0.848970432
2.865384615,0.1481698,0.434905426,0.696316705,0.848127592
2.884615385,0.147342678,0.432716085,0.69463204,0.847283318
2.903846154,0.146524364,0.430541978,0.692944745,0.846437624
2.923076923,0.14571473,0.428383219,0.691254858,0.845590524
2.942307692,0.144913648,0.426239913,0.689562417,0.844742032
2.961538462,0.144120993,0.424112161,0.687867457,0.84389216
2.980769231,0.143336644,0.422000057,0.686170017,0.843040923
3,0.142560479,0.419903689,0.684470135,0.842188334
3.019230769,0.14179238,0.417823139,0.682767848,0.841334406
3.038461538,0.141032231,0.415758484,0.681063195,0.840479152
3.057692308,0.140279917,0.413709792,0.679356213,0.839622587
3.076923077,0.139535326,0.411677128,0.677646943,0.838764722
3.096153846,0.138798347,0.409660549,0.675935422,0.837905571
3.115384615,0.138068871,0.407660108,0.674221691,0.837045148
3.134615385,0.137346792,0.405675851,0.672505787,0.836183464
3.153846154,0.136632004,0.403707817,0.670787752,0.835320533
3.173076923,0.135924404,0.401756042,0.669067625,0.834456367
3.192307692,0.135223891,0.399820553,0.667345446,0.83359098
3.211538462,0.134530364,0.397901374,0.665621256,0.832724384
3.230769231,0.133843726,0.395998523,0.663895095,0.831856591
3.25,0.133163881,0.39411201,0.662167006,0.830987614
3.269230769,0.132490732,0.392241843,0.660437029,0.830117465
3.288461538,0.131824188,0.390388023,0.658705206,0.829246157
3.307692308,0.131164156,0.388550545,0.656971579,0.828373702
3.326923077,0.130510547,0.3867294,0.655236191,0.827500112
3.346153846,0.12986327,0.384924573,0.653499084,0.826625399
3.365384615,0.129222241,0.383136045,0.651760302,0.825749574
3.384615385,0.128587372,0.381363791,0.650019888,0.824872651
3.403846154,0.12795858,0.379607781,0.648277885,0.823994641
3.423076923,0.127335781,0.377867981,0.646534339,0.823115555
3.442307692,0.126718895,0.376144353,0.644789293,0.822235406
3.461538462,0.126107841,0.374436853,0.643042792,0.821354204
3.480769231,0.12550254,0.372745432,0.641294882,0.820471962
3.5,0.124902915,0.371070039,0.639545608,0.81958869
3.519230769,0.12430889,0.369410617,0.637795016,0.8187044
3.538461538,0.123720389,0.367767105,0.636043154,0.817819104
3.557692308,0.12313734,0.366139438,0.634290066,0.816932812
3.576923077,0.122559669,0.364527549,0.632535802,0.816045535
3.596153846,0.121987305,0.362931363,0.630780408,0.815157285
3.615384615,0.121420179,0.361350804,0.629023933,0.814268073
3.634615385,0.120858221,0.359785794,0.627266425,0.813377909
3.653846154,0.120301363,0.358236248,0.625507934,0.812486803
3.673076923,0.119749539,0.356702079,0.623748507,0.811594768
3.692307692,0.119202683,0.355183198,0.621988196,0.810701812
3.711538462,0.118660731,0.35367951,0.620227051,0.809807947
3.730769231,0.118123618,0.352190921,0.618465122,0.808913184
3.75,0.117591282,0.350717329,0.61670246,0.808017531
3.769230769,0.117063663,0.349258634,0.614939117,0.807121001
3.788461538,0.116540699,0.34781473,0.613175146,0.806223602
3.807692308,0.116022331,0.346385509,0.611410598,0.805325345
3.826923077,0.1155085,0.344970863,0.609645527,0.804426239
3.846153846,0.114999149,0.343570677,0.607879987,0.803526296
3.865384615,0.114494221,0.342184839,0.606114031,0.802625523
3.884615385,0.113993659,0.340813229,0.604347713,0.801723933
3.903846154,0.113497411,0.339455731,0.60258109,0.800821532
3.923076923,0.11300542,0.338112222,0.600814215,0.799918333
3.942307692,0.112517634,0.33678258,0.599047146,0.799014343
3.961538462,0.112034001,0.33546668,0.597279938,0.798109572
3.980769231,0.111554469,0.334164396,0.595512648,0.79720403
4,0.111078987,0.3328756,0.593745335,0.796297726
4.019230769,0.110607506,0.331600163,0.591978055,0.795390668
4.038461538,0.110139975,0.330337954,0.590210867,0.794482867
4.057692308,0.109676348,0.329088842,0.588443831,0.79357433
4.076923077,0.109216576,0.327852693,0.586677005,0.792665067
4.096153846,0.108760613,0.326629372,0.584910449,0.791755086
4.115384615,0.108308412,0.325418746,0.583144224,0.790844397
4.134615385,0.107859927,0.324220677,0.581378391,0.789933008
4.153846154,0.107415114,0.323035029,0.579613011,0.789020927
4.173076923,0.10697393,0.321861664,0.577848146,0.788108163
4.192307692,0.10653633,0.320700445,0.576083858,0.787194724
4.211538462,0.106102272,0.319551231,0.574320211,0.786280619
4.230769231,0.105671714,0.318413885,0.572557268,0.785365856
4.25,0.105244614,0.317288267,0.570795092,0.784450443
4.269230769,0.104820931,0.316174235,0.569033748,0.783534387
4.288461538,0.104400626,0.315071652,0.567273301,0.782617698
4.307692308,0.103983659,0.313980375,0.565513817,0.781700383
4.326923077,0.103569991,0.312900264,0.56375536,0.780782449
4.346153846,0.103159583,0.31183118,0.561997998,0.779863905
4.365384615,0.102752398,0.310772982,0.560241797,0.778944758
4.384615385,0.102348398,0.309725529,0.558486824,0.778025016
4.403846154,0.101947547,0.308688682,0.556733147,0.777104686
4.423076923,0.101549808,0.3076623,0.554980835,0.776183776
4.442307692,0.101155146,0.306646244,0.553229955,0.775262292
4.461538462,0.100763526,0.305640375,0.551480578,0.774340244
4.480769231,0.100374913,0.304644554,0.549732772,0.773417636
4.5,0.099989273,0.303658644,0.547986608,0.772494478
4.519230769,0.099606572,0.302682505,0.546242155,0.771570775
4.538461538,0.099226779,0.301716002,0.544499485,0.770646535
4.557692308,0.098849859,0.300758997,0.542758668,0.769721764
4.576923077,0.09847578,0.299811355,0.541019777,0.76879647
4.596153846,0.098104512,0.298872941,0.539282884,0.767870659
4.615384615,0.097736023,0.29794362,0.53754806,0.766944338
4.634615385,0.097370282,0.297023259,0.535815378,0.766017514
4.653846154,0.097007259,0.296111725,0.534084913,0.765090192
4.673076923,0.096646923,0.295208888,0.532356736,0.764162381
4.692307692,0.096289246,0.294314615,0.530630922,0.763234085
4.711538462,0.095934199,0.293428777,0.528907546,0.762305311
4.730769231,0.095581752,0.292551245,0.527186681,0.761376067
4.75,0.095231878,0.291681892,0.525468403,0.760446356
4.769230769,0.094884549,0.290820591,0.523752786,0.759516187
4.788461538,0.094539737,0.289967216,0.522039906,0.758585565
4.807692308,0.094197415,0.289121642,0.520329838,0.757654496
4.826923077,0.093857557,0.288283748,0.518622659,0.756722985
4.846153846,0.093520137,0.287453409,0.516918445,0.755791039
4.865384615,0.093185128,0.286630507,0.515217272,0.754858664
4.884615385,0.092852504,0.28581492,0.513519216,0.753925865
4.903846154,0.092522242,0.28500653,0.511824355,0.752992648
4.923076923,0.092194315,0.284205221,0.510132766,0.752059018
4.942307692,0.0918687,0.283410876,0.508444526,0.751124982
4.961538462,0.091545371,0.282623381,0.506759712,0.750190544
4.980769231,0.091224306,0.281842622,0.505078402,0.749255709
5,0.090905481,0.281068488,0.503400673,0.748320485
5.019230769,0.090588872,0.280300868,0.501726603,0.747384874
5.038461538,0.090274457,0.279539653,0.500056271,0.746448883
5.057692308,0.089962213,0.278784735,0.498389753,0.745512518
5.076923077,0.089652118,0.278036007,0.496727129,0.744575782
5.096153846,0.089344149,0.277293365,0.495068476,0.743638681
5.115384615,0.089038286,0.276556704,0.493413872,0.74270122
5.134615385,0.088734506,0.275825923,0.491763395,0.741763405
5.153846154,0.088432789,0.27510092,0.490117125,0.740825239
5.173076923,0.088133113,0.274381596,0.488475137,0.739886727
5.192307692,0.087835459,0.273667853,0.486837512,0.738947875
5.211538462,0.087539806,0.272959595,0.485204326,0.738008687
5.230769231,0.087246134,0.272256725,0.483575657,0.737069168
5.25,0.086954422,0.27155915,0.481951585,0.736129322
5.269230769,0.086664653,0.270866779,0.480332185,0.735189154
5.288461538,0.086376806,0.270179519,0.478717535,0.734248668
5.307692308,0.086090862,0.269497281,0.477107714,0.733307868
5.326923077,0.085806804,0.268819978,0.475502798,0.73236676
5.346153846,0.085524611,0.268147521,0.473902865,0.731425347
5.365384615,0.085244266,0.267479827,0.47230799,0.730483633
5.384615385,0.084965751,0.266816811,0.470718251,0.729541624
5.403846154,0.084689049,0.26615839,0.469133724,0.728599322
5.423076923,0.084414141,0.265504483,0.467554485,0.727656732
5.442307692,0.08414101,0.264855011,0.465980609,0.726713858
5.461538462,0.083869639,0.264209895,0.464412173,0.725770705
5.480769231,0.083600012,0.263569059,0.462849251,0.724827275
5.5,0.083332111,0.262932426,0.461291917,0.723883573
5.519230769,0.08306592,0.262299921,0.459740247,0.722939604
5.538461538,0.082801422,0.261671474,0.458194313,0.721995369
5.557692308,0.082538603,0.26104701,0.456654191,0.721050874
5.576923077,0.082277445,0.260426461,0.455119951,0.720106123
5.596153846,0.082017934,0.259809757,0.453591668,0.719161117
5.615384615,0.081760053,0.259196831,0.452069413,0.718215863
5.634615385,0.081503788,0.258587616,0.450553257,0.717270362
5.653846154,0.081249123,0.257982047,0.449043273,0.716324618
5.673076923,0.080996043,0.257380061,0.447539529,0.715378636
5.692307692,0.080744534,0.256781594,0.446042096,0.714432418
5.711538462,0.080494581,0.256186585,0.444551044,0.713485967
5.730769231,0.08024617,0.255594975,0.443066441,0.712539288
5.75,0.079999287,0.255006704,0.441588355,0.711592383
5.769230769,0.079753917,0.254421715,0.440116853,0.710645256
5.788461538,0.079510047,0.253839952,0.438652003,0.70969791
5.807692308,0.079267663,0.253261358,0.437193869,0.708750348
5.826923077,0.079026751,0.252685881,0.435742519,0.707802574
5.846153846,0.078787299,0.252113466,0.434298015,0.70685459
5.865384615,0.078549293,0.251544062,0.432860421,0.705906399
5.884615385,0.078312719,0.250977619,0.431429802,0.704958005
5.903846154,0.078077566,0.250414087,0.430006218,0.70400941
5.923076923,0.07784382,0.249853417,0.428589732,0.703060618
5.942307692,0.077611469,0.249295563,0.427180404,0.702111631
5.961538462,0.0773805,0.248740477,0.425778293,0.701162452
5.980769231,0.077150901,0.248188114,0.424383459,0.700213084
6,0.07692266,0.247638431,0.422995959,0.699263531
6.019230769,0.076695766,0.247091383,0.42161585,0.698313794
6.038461538,0.076470205,0.24654693,0.420243189,0.697363876
6.057692308,0.076245966,0.246005029,0.41887803,0.696413781
6.076923077,0.076023039,0.24546564,0.417520428,0.695463511
6.096153846,0.07580141,0.244928724,0.416170436,0.694513068
6.115384615,0.07558107,0.244394244,0.414828106,0.693562454
6.134615385,0.075362007,0.24386216,0.413493489,0.692611674
6.153846154,0.075144209,0.243332438,0.412166635,0.691660729
6.173076923,0.074927667,0.242805041,0.410847594,0.690709621
6.192307692,0.074712368,0.242279934,0.409536414,0.689758354
6.211538462,0.074498303,0.241757085,0.408233141,0.688806929
6.230769231,0.07428546,0.24123646,0.406937822,0.68785535
6.25,0.074073831,0.240718027,0.405650501,0.686903617
6.269230769,0.073863403,0.240201754,0.404371221,0.685951735
6.288461538,0.073654167,0.239687611,0.403100026,0.684999704
6.307692308,0.073446112,0.23917557,0.401836956,0.684047529
6.326923077,0.07323923,0.2386656,0.400582053,0.683095209
6.346153846,0.07303351,0.238157673,0.399335354,0.682142749
6.365384615,0.072828941,0.237651763,0.398096899,0.68119015
6.384615385,0.072625516,0.237147843,0.396866722,0.680237414
6.403846154,0.072423223,0.236645886,0.395644861,0.679284544
6.423076923,0.072222054,0.236145868,0.394431349,0.678331541
6.442307692,0.072021999,0.235647765,0.393226219,0.677378409
6.461538462,0.07182305,0.235151552,0.392029504,0.676425148
6.480769231,0.071625196,0.234657206,0.390841233,0.675471761
6.5,0.071428429,0.234164706,0.389661436,0.67451825
6.519230769,0.07123274,0.233674028,0.388490141,0.673564617
6.538461538,0.07103812,0.233185153,0.387327375,0.672610864
6.557692308,0.070844561,0.232698059,0.386173163,0.671656994
6.576923077,0.070652053,0.232212726,0.38502753,0.670703007
6.596153846,0.070460589,0.231729136,0.383890498,0.669748906
6.615384615,0.070270159,0.231247269,0.38276209,0.668794693
6.634615385,0.070080756,0.230767107,0.381642326,0.66784037
6.653846154,0.069892371,0.230288633,0.380531224,0.666885938
6.673076923,0.069704995,0.229811829,0.379428803,0.6659314
6.692307692,0.069518622,0.229336679,0.378335078,0.664976757
6.711538462,0.069333243,0.228863166,0.377250066,0.664022011
6.730769231,0.069148849,0.228391276,0.37617378,0.663067164
6.75,0.068965434,0.227920992,0.375106233,0.662112218
6.769230769,0.068782989,0.227452301,0.374047436,0.661157174
6.788461538,0.068601506,0.226985188,0.372997398,0.660202034
6.807692308,0.068420979,0.22651964,0.371956129,0.659246801
6.826923077,0.068241399,0.226055642,0.370923635,0.658291475
6.846153846,0.068062759,0.225593183,0.369899923,0.657336058
6.865384615,0.067885052,0.22513225,0.368884998,0.656380552
6.884615385,0.067708271,0.224672831,0.367878862,0.65542496
6.903846154,0.067532407,0.224214914,0.366881518,0.654469281
6.923076923,0.067357455,0.223758489,0.365892966,0.653513519
6.942307692,0.067183407,0.223303543,0.364913206,0.652557674
6.961538462,0.067010256,0.222850067,0.363942237,0.651601748
6.980769231,0.066837995,0.222398051,0.362980054,0.650645744
7,0.066666618,0.221947485,0.362026654,0.649689662
7.019230769,0.066496117,0.221498359,0.36108203,0.648733504
7.038461538,0.066326485,0.221050664,0.360146176,0.647777271
7.057692308,0.066157717,0.220604391,0.359219084,0.646820966
7.076923077,0.065989806,0.220159533,0.358300743,0.645864589
7.096153846,0.065822745,0.21971608,0.357391144,0.644908143
7.115384615,0.065656527,0.219274025,0.356490274,0.643951629
7.134615385,0.065491147,0.21883336,0.355598119,0.642995048
7.153846154,0.065326598,0.218394078,0.354714665,0.642038401
7.173076923,0.065162873,0.217956172,0.353839897,0.641081692
7.192307692,0.064999967,0.217519634,0.352973797,0.64012492
7.211538462,0.064837874,0.217084459,0.352116347,0.639168087
7.230769231,0.064676587,0.216650639,0.351267527,0.638211196
7.25,0.0645161,0.216218169,0.350427318,0.637254246
7.269230769,0.064356408,0.215787042,0.349595697,0.636297241
7.288461538,0.064197504,0.215357254,0.348772641,0.635340181
7.307692308,0.064039383,0.214928798,0.347958127,0.634383068
7.326923077,0.063882039,0.214501669,0.347152128,0.633425903
7.346153846,0.063725467,0.214075862,0.346354619,0.632468687
7.365384615,0.06356966,0.213651372,0.345565571,0.631511423
7.384615385,0.063414613,0.213228195,0.344784957,0.630554112
7.403846154,0.06326032,0.212806325,0.344012747,0.629596755
7.423076923,0.063106776,0.212385758,0.343248909,0.628639353
7.442307692,0.062953976,0.211966491,0.342493412,0.627681908
7.461538462,0.062801914,0.211548518,0.341746223,0.626724422
7.480769231,0.062650585,0.211131836,0.341007308,0.625766896
7.5,0.062499983,0.210716441,0.340276632,0.624809331
